,activation,hiddenLayers,inputdropout,dropout,epochs,trainSamplesPerIteration,rho,l1,l2,maxw2,epsilon,balance_classes,dataTransformation,lossFunction,executionTime,logLoss1,logLoss2,logLoss3,logLoss4,accuracy1,accuracy2,accuracy3,accuracy4
1,RectifierWithDropout,500;250;50,,0.1,25,1000,0.999,1e-04,0,100,,FALSE,raw,automatic,,0.5348825254,0.5451128659,0.5368406731,0.5425962736,0.8084033613,0.8080677484,0.8066455492,0.8056884292
1,RectifierWithDropout,100;50,0,0,10,10000,0.99,1e-05,0.001,10,1e-08,FALSE,raw,automatic,0.6211591999,0.5350339335,0.5544801006,0.5362093391,0.5437100448,0.7985132515,0.7928760747,0.7928760747,0.7915966387
1,RectifierWithDropout,100;50,0,0,10,10000,0.99,1e-05,0.001,10,1e-08,FALSE,raw,automatic,0.6398024877,0.5359049117,0.563145429,0.5407666523,0.544227635,0.7991596639,0.7928114293,0.7913892301,0.7926308985
1,RectifierWithDropout,100;50,0,0,10,1000,0.99,1e-05,0.001,10,1e-08,FALSE,raw,automatic,0.7856901,0.5368695532,0.5459079828,0.537839771,0.5439772468,0.799741435,0.7972719633,0.7899670308,0.7901098901
1,RectifierWithDropout,100;50,0,0,10,-2,0.99,1e-05,0.001,10,1e-08,FALSE,raw,automatic,0.6415366997,0.541549712,0.5536175464,0.5473509328,0.552024343,0.7968972204,0.792294266,0.788609477,0.7866192631
1,RectifierWithDropout,100;50,0,0,10,10000,0.99,1e-05,0.001,10,1e-08,FALSE,raw,automatic,0.68483075,0.5423466883,0.551525831,0.5415557697,0.5624099747,0.7963800905,0.7913245847,0.7891912858,0.7812540401
1,RectifierWithDropout,100;50,0,0,10,0,0.99,1e-05,0.001,10,1e-08,FALSE,raw,automatic,0.6071793159,0.5424547903,0.5524079835,0.546267976,0.5473426786,0.7954104719,0.7912599392,0.7883508953,0.7867485456
1,RectifierWithDropout,100;50,0,0,10,100,0.99,1e-05,0.001,10,1e-08,FALSE,raw,automatic,1.7747895966,0.5454334559,0.5459309558,0.5476720682,0.5604803451,0.7940530058,0.7917124572,0.7897730946,0.7873303167
1,RectifierWithDropout,100;50,0,0,10,0,0.99,1e-05,0.001,10,1e-08,FALSE,raw,automatic,0.5968413035,0.5457023561,0.552456218,0.539706142,0.5546512122,0.7951519069,0.7900963217,0.7897084492,0.783387201
1,RectifierWithDropout,100;50,0,0,10,1,0.99,1e-05,0.001,10,1e-08,FALSE,raw,automatic,21.6062249045,0.5470470867,0.5535090953,0.5421254517,0.5501083313,0.7976729153,0.7956558278,0.7900963217,0.7922430511
1,RectifierWithDropout,100;50,0,0,10,-2,0.99,1e-05,0.001,10,1e-08,FALSE,raw,automatic,0.6024373045,0.5483976249,0.5481470394,0.5310610056,0.5403344753,0.7963800905,0.7955911824,0.7950093736,0.7891402715
1,RectifierWithDropout,100;50,0,0,10,10000,0.99,1e-05,0.001,10,1e-08,FALSE,raw,automatic,0.6596563707,0.5490049127,0.5513425665,0.5307805202,0.5524171653,0.7944408533,0.7931346564,0.7948800827,0.7932126697
1,RectifierWithDropout,100;100,,0.1,25,10000,0.98,1e-04,1e-04,10,,TRUE,raw,automatic,,0.5492503746,0.5687035691,0.5483591577,0.5509570113,0.7965740142,0.7965608637,0.7920356843,0.7928894635
1,RectifierWithDropout,35;17,0.02,0.1,5,-2,0.9999,0.001,1e-05,100,1e-09,FALSE,raw,automatic,0.1364342709,0.5942650613,0.6257971813,0.6096042812,0.6128032717,0.7673561732,0.762428082,0.7651431896,0.7631544926
2,RectifierWithDropout,36;36,,0.2,25,-2,0.99,0.001,1e-04,10,,FALSE,raw,automatic,,0.5969848557,0.6090809865,0.5996276793,0.6045015776,0.7744667098,0.7729652854,0.7691512056,0.7656108597
1,RectifierWithDropout,100;100,,0.7,25,0,0.95,0,1e-05,1000,,TRUE,raw,automatic,,0.6661072901,0.6653460536,0.6609024005,0.6630614392,0.7539754363,0.751955524,0.7532484323,0.7447963801
1,RectifierWithDropout,36;36,0,0.5,5,10000,0.999,1e-05,0,100,1e-09,FALSE,raw,automatic,6.4290732741,0.6673494101,0.6818822224,0.702816304,0.741327199,0.7507433743,0.7441980736,0.7445213007,0.7341305753
1,RectifierWithDropout,500;500;250;100,0,0.2,25,1000,0.95,0,0,100,1e-08,TRUE,raw,automatic,,0.7134064362,0.731197991,0.7214609744,0.7024245352,0.8102779573,0.8037365053,0.8058051587,0.805365223
1,RectifierWithDropout,100;20,0.1,0.5,25,-2,0.999,1e-04,0,1000,1e-07,TRUE,raw,automatic,0.9530331582,0.7272357163,0.6703677485,0.6522654833,0.8054011227,0.7375565611,0.742258711,0.7499515159,0.7162895928
1,RectifierWithDropout,100;50,0.5,0.5,15,-2,0.99,0,0.01,10,1e-09,TRUE,raw,automatic,0.9277463833,0.7367288367,0.74567274,0.7243584058,0.7424736794,0.7363283775,0.7292003362,0.7354709419,0.7288946348
3,RectifierWithDropout,36;36;36,,0.1,100,-2,0.98,0.01,1e-04,100,,TRUE,raw,automatic,,0.7441771,0.8010157749,0.7621769918,0.767600174,0.7332255979,0.7217014675,0.7301700175,0.7212023271
5,TanhWithDropout,200;100;50,,0.1,25,-2,0.98,1e-05,0.01,1,,FALSE,raw,automatic,,0.7498333161,0.7645477657,0.7682318135,0.7585999986,0.734841629,0.7292003362,0.7330144159,0.727343245
2,RectifierWithDropout,36;18,,0.7,50,0,0.98,0,0,1000,,FALSE,raw,automatic,,0.7818099126,0.8033878522,1.0744331659,0.8368893234,0.723852618,0.7180813239,0.6061154567,0.7104072398
1,RectifierWithDropout,35;17,0,0.1,25,-2,0.95,0.001,1e-05,1,1e-07,TRUE,raw,automatic,1.7779203037,0.7891318293,0.8021587269,0.8100159213,0.8024093419,0.7151906917,0.7133622083,0.7081259293,0.7133807369
3,TanhWithDropout,500;250;50,,0,100,1000,0.99,0.001,1e-05,1,,TRUE,raw,automatic,,0.80793392,0.7647589631,0.8010783906,0.8081284998,0.7281835811,0.7247398022,0.7258387743,0.7181641888
1,RectifierWithDropout,35;17,0.05,0.1,50,10000,0.9999,0.01,0,100,1e-08,FALSE,raw,automatic,0.8685224215,0.8131090992,0.8213357221,0.810628216,0.8139295512,0.729217841,0.7107763915,0.7237054755,0.7156431803
2,RectifierWithDropout,100;20,,0.7,50,1,0.999,1e-04,1e-05,100,,FALSE,raw,automatic,,0.8422241347,0.7750888145,0.8589332722,0.8408404241,0.714738203,0.7366992049,0.7343073243,0.7297349709
1,RectifierWithDropout,1024;512;128,0.5,0.2,5,-2,0.98,0.001,0.01,1,1e-09,FALSE,raw,automatic,3.4713899871,0.8737412543,0.8713110023,0.8800574638,0.8817071205,0.6948287007,0.6908009568,0.6928049648,0.6931480284
1,RectifierWithDropout,100;100,0.1,0.1,10,-2,0.98,0.01,1e-05,100,1e-06,FALSE,raw,automatic,0.5157771081,0.8741669157,0.8455119608,0.8674785438,0.8211119438,0.6998060763,0.7173702243,0.7000452518,0.7067226891
1,RectifierWithDropout,36;36,0.01,0.5,5,-2,0.999,0,1e-04,1000,1e-06,TRUE,raw,automatic,0.3489097546,0.8795232193,0.7093943139,0.7862470143,0.7436426887,0.6947640595,0.7443273644,0.7284892365,0.7299288946
1,TanhWithDropout,36;36;36,,0,10,10000,0.99,0.01,0.001,10,,FALSE,raw,automatic,,0.8812177659,0.8783958988,0.9105282843,0.8575835391,0.7118293471,0.7087723835,0.7090309652,0.7118293471
1,RectifierWithDropout,500;250;50,0.05,0.1,15,-2,0.98,0.01,1e-04,100,1e-07,FALSE,raw,automatic,2.7082343916,0.8980157703,1.0584496509,1.9621609052,0.8581001517,0.7118293471,0.5934449544,0.259745297,0.7117647059
1,RectifierWithDropout,100;20,0,0.2,5,-2,0.98,0.01,0.01,10,1e-06,FALSE,raw,automatic,0.2403144211,0.9186427931,0.9371326927,0.9191515229,0.9214641287,0.6944408533,0.6899605663,0.7021139052,0.6899159664
6,TanhWithDropout,500;250;50,,0.7,50,-2,0.999,0.001,1e-05,100,,TRUE,raw,automatic,,0.9452676021,1.0038930841,0.973098476,0.9664366386,0.6993535876,0.6884090762,0.6900898571,0.687394958
1,MaxoutWithDropout,36;18,0.2,0.2,15,-2,0.9999,0,0.001,10,1e-09,FALSE,raw,automatic,0.6050508539,1.024160369,0.9514389304,0.9823156615,0.9945724504,0.6608920491,0.6774840003,0.6842717693,0.6661279897
4,TanhWithDropout,500;500;250;100,,0,10,10000,0.9999,0.001,0.01,10,,FALSE,raw,automatic,,1.0794527259,1.0409838076,1.0017385752,0.8992247691,0.6586296057,0.6320382701,0.6935807098,0.6958629606
1,TanhWithDropout,36;36,0,0.7,10,-2,0.95,0.01,0.01,100,1e-07,FALSE,raw,automatic,0.3658216248,1.1078144631,1.0939256836,1.1151454659,1.1389280651,0.6629605688,0.6638438167,0.6624862628,0.6504201681
1,MaxoutWithDropout,100;50,0,0.1,5,-2,0.95,0.01,0,100,1e-06,TRUE,raw,automatic,1.6036768754,1.1212400335,1.050765122,1.1548825068,1.1985865428,0.6378797673,0.6522076411,0.6202728037,0.6254040078
1,TanhWithDropout,200;100;50,,0.2,25,1000,0.9999,1e-05,0.001,1,,TRUE,raw,automatic,,1.1995378292,1.2792194535,1.3960853619,1.4111002937,0.6451842275,0.5711422846,0.570431185,0.616612799
1,MaxoutWithDropout,100;20,0.02,0.2,5,-2,0.999,0,0.01,100,1e-08,TRUE,raw,automatic,1.3808237294,1.2533544928,1.202131124,1.2379004946,1.3019206938,0.5972850679,0.6194324132,0.6213717758,0.6122818358
1,TanhWithDropout,35;17,0.05,0.5,5,-2,0.98,0.01,1e-04,1,1e-08,FALSE,raw,automatic,0.2520417541,1.3061711493,1.2842829505,1.2941646921,1.2954367652,0.5848739496,0.5846531773,0.5863339582,0.5844214609
1,RectifierWithDropout,100;20,,0,5,100,0.95,1e-04,1e-05,0.1,,FALSE,raw,automatic,,1.3594916684,1.3529091616,1.345214125,1.3570442408,0.5789269554,0.5484517422,0.5756028185,0.5703943116
1,RectifierWithDropout,36;36;36,0.2,0.7,10,1000,0.999,1e-05,0.001,100,1e-06,FALSE,raw,automatic,10.2207752466,1.3710904083,1.1148290565,1.3034067911,1.2341689337,0.5216548158,0.7070916026,0.6755446377,0.6208144796
1,RectifierWithDropout,36;36;36,0.01,0.2,5,-2,0.99,1e-05,0.001,0.1,1e-08,TRUE,raw,automatic,0.5028269996,1.462341767,1.5151030028,1.4853939282,1.4908267633,0.4702650291,0.4799275971,0.4770185532,0.4760180995
1,MaxoutWithDropout,500;250;50,0.02,0.2,5,-2,0.98,0.001,0,100,1e-06,FALSE,raw,automatic,6.4284967502,1.4811560897,1.5083609369,1.4254182041,1.5053239477,0.5069166128,0.5342297498,0.5319025147,0.5117647059
1,TanhWithDropout,200;100;50,0.05,0.5,10,-2,0.95,0,0.01,0.1,1e-07,FALSE,raw,automatic,2.4575220088,1.5347384824,1.5225048805,1.5295840073,1.5362219884,0.478539108,0.4802508242,0.4785700433,0.4769230769
1,MaxoutWithDropout,100;50,0.05,0,5,-2,0.9999,1e-05,0.001,1,1e-09,TRUE,raw,automatic,1.7270744582,1.661799544,1.8383466909,1.7435542922,1.6733238405,0.4475113122,0.4570431185,0.4481220506,0.485520362
3,TanhWithDropout,500;250;50,,0.7,10,1000,0.99,1e-05,0.001,0.1,,TRUE,raw,automatic,,1.6964818268,1.7189481904,1.7220741107,1.7006591246,0.4756948933,0.4702954296,0.4660934773,0.4718164189
1,TanhWithDropout,100;100,0.2,0.7,5,10000,0.9999,1e-04,1e-04,1000,1e-06,TRUE,raw,automatic,0.9974570831,1.7113561544,1.2020491952,2.0486081678,1.7323800023,0.5391079509,0.5814855517,0.5762492727,0.5533290239
1,RectifierWithDropout,36;18,0.02,0.5,15,-2,0.999,1e-04,0.01,0.1,1e-09,FALSE,raw,automatic,0.3057829032,1.817989939,1.7858419432,1.7908326304,1.8068535003,0.4591467356,0.4612450708,0.4682267761,0.4771816419
1,RectifierWithDropout,100;20,,0.2,25,1000,0.9999,1e-05,0.01,0.1,,FALSE,raw,automatic,,1.8611403583,1.848619661,1.7978938084,1.9651252529,0.3237879767,0.4759195811,0.3402288448,0.3375565611
1,RectifierWithDropout,500;500;250;100,0.5,0,50,100,0.999,0.01,0,10,1e-09,FALSE,raw,automatic,,1.8687479304,3.080051488,1.9652340093,2.4381419345,0.3027149321,0.3607214429,0.259745297,0.3649644473
1,MaxoutWithDropout,36;36,,0.1,100,1000,0.95,1e-04,1e-04,1,,FALSE,raw,automatic,,1.8783332988,1.9011787529,1.9240796796,1.9034751968,0.4166774402,0.4657056048,0.4434675803,0.3817065288
5,MaxoutWithDropout,36;36,,0,10,1000,0.98,0.001,0,1,,TRUE,raw,automatic,,1.8831643919,1.9704856219,1.9128211664,1.9110124824,0.4186166774,0.2826944211,0.2689249467,0.2536522301
1,MaxoutWithDropout,35;17,0.2,0.5,15,-2,0.95,0.001,0.01,10,1e-08,TRUE,raw,automatic,1.1477780581,1.8898018255,1.7772970581,1.8201896591,1.7780131352,0.3507433743,0.4607925528,0.3973107505,0.4616031028
1,RectifierWithDropout,36;36;36,0.2,0.7,25,-2,0.999,1e-05,0.001,0.1,1e-08,TRUE,raw,automatic,0.9025286247,1.9241799739,1.9390317761,1.9237951983,1.9399477416,0.2985778927,0.2730622535,0.3009244295,0.4526826115
1,MaxoutWithDropout,500;250;50,0.2,0,5,-2,0.99,1e-04,0.01,10,1e-08,FALSE,raw,automatic,8.9562304586,1.9256795918,1.788701268,1.6901203124,1.4337654603,0.445572075,0.4545865925,0.4615682979,0.4701357466
1,MaxoutWithDropout,35;17,0,0.2,5,-2,0.95,1e-05,1e-04,1,1e-09,FALSE,raw,automatic,0.2542416334,1.9340776621,1.9417441583,1.9463966099,1.9476031502,0.2659987072,0.2596160062,0.259745297,0.2592760181
1,MaxoutWithDropout,36;36;36,0.5,0.7,25,-2,0.99,0.001,1e-05,1000,1e-08,FALSE,raw,automatic,0.8579413245,1.936614764,1.9461011503,1.9411550031,1.9367093186,0.4055591467,0.2596160062,0.4518068395,0.410730446
4,MaxoutWithDropout,200;100;50,,0.2,50,100,0.9999,0.01,0.001,100,,TRUE,raw,automatic,,1.951732519,1.9606898502,1.8678909118,1.9443719669,0.2636069813,0.2596160062,0.2989204215,0.2993535876
1,MaxoutWithDropout,200;100;50,0,0,10,-2,0.95,0.001,1e-05,0.1,1e-08,TRUE,raw,automatic,8.2008130958,1.9544410886,2.1023709061,1.968421314,2.046743629,0.2636069813,0.2596160062,0.259745297,0.2592113769
1,MaxoutWithDropout,36;36,0.01,0.5,5,-2,0.95,1e-04,0.001,0.1,1e-07,TRUE,raw,automatic,0.518407925,1.9550591267,1.956982468,1.952326381,1.9611416138,0.2636069813,0.2596160062,0.259745297,0.2283128636
1,TanhWithDropout,500;250;50,0.5,0.1,10,-2,0.9999,0.001,1e-04,0.1,1e-09,FALSE,raw,automatic,10.795675238,1.9569154742,2.0307090643,2.0107667169,1.9587763692,0.2636069813,0.2596160062,0.259745297,0.2592113769
1,MaxoutWithDropout,100;50,0.05,0.2,10,10000,0.98,0.01,0.01,1,1e-06,FALSE,raw,automatic,1.2780552874,1.9577410636,2.1045765394,2.0296886307,2.0018789845,0.3594699418,0.230331631,0.259745297,0.2592113769
1,MaxoutWithDropout,36;36,0,0.5,5,1000,0.99,1e-04,0.01,0.1,1e-08,FALSE,raw,automatic,0.3164764374,1.9579721852,1.9472673812,1.957318189,1.9613957383,0.4422107304,0.2596160062,0.259745297,0.2592113769
5,MaxoutWithDropout,200;100;50,,0.7,100,10000,0.999,0.001,1e-04,1,,FALSE,raw,automatic,,1.9579951421,2.0910438782,1.9716553361,2.09318751,0.2636069813,0.2596160062,0.4472816601,0.2592113769
1,MaxoutWithDropout,200;100;50,,0.5,5,0,0.9999,0.01,0.001,1000,,TRUE,raw,automatic,,1.9655481401,1.9581655699,1.9603377101,1.9639055462,0.2636069813,0.2596160062,0.2711875364,0.2592113769
1,TanhWithDropout,100;50,0,0,10,100,0.9999,0.01,0.01,0.1,1e-07,TRUE,raw,automatic,5.3836385369,1.9711516932,2.0156877015,2.0003089891,NA,0.2636069813,0.2596160062,0.259745297,NA
1,MaxoutWithDropout,500;500;250;100,0.02,0,5,-2,0.999,0,1e-05,1,1e-09,TRUE,raw,automatic,43.6411955833,1.9720041614,2.0202107517,2.0035181263,1.9561197981,0.2636069813,0.2596160062,0.259745297,0.2592113769
1,RectifierWithDropout,500;500;250;100,,0.2,25,10000,0.99,0.01,1e-04,10,,TRUE,raw,automatic,,1.9976987553,2.0259102913,2.6389887406,2.07830532,0.2636069813,0.2596160062,0.259745297,0.2592113769
1,MaxoutWithDropout,35;17,,0.1,25,1000,0.98,0.01,1e-05,1,,TRUE,raw,automatic,,2.0202449998,2.0198044422,1.9421739487,1.9434389311,0.2636069813,0.2596160062,0.259745297,0.4036199095
2,MaxoutWithDropout,500;500;250;100,,0.1,5,0,0.99,1e-04,1e-05,10,,TRUE,raw,automatic,,2.0346052046,1.9732736313,1.980542406,1.973036978,0.2636069813,0.230331631,0.259745297,0.2592113769
4,MaxoutWithDropout,500;500;250;100,,0.1,50,0,0.99,0.001,1e-04,10,,FALSE,raw,automatic,,2.0527224819,2.1149628967,2.2223747065,2.250112598,0.2255332902,0.230331631,0.259745297,0.2592113769
1,RectifierWithDropout,500;500;250;100,0.02,0.1,10,-2,0.98,0.01,0,0.1,1e-07,FALSE,raw,automatic,1.6564040462,2.0868290609,1.9546394351,1.9800009034,1.9875377591,0.2255332902,0.2596160062,0.259745297,0.2592113769
1,RectifierWithDropout,36;36,0.05,0.5,25,100,0.9999,0.01,1e-04,0.1,1e-08,FALSE,raw,automatic,1.4313809544,2.0870002305,2.0479561782,2.0261275533,1.9996638088,0.2636069813,0.2596160062,0.259745297,0.2292824822
1,RectifierWithDropout,500;500;250;100,0.02,0.7,25,-2,0.99,1e-05,0,0.1,1e-06,FALSE,raw,automatic,7.6835696081,2.2408557597,1.9538973821,1.6314801369,1.6906166952,0.2636069813,0.2596160062,0.4781175254,0.4780866193
"1","MaxoutWithDropout","100;50",0,0.5,5,-2,0.95,0,0.01,1,1e-06,FALSE,"raw","MeanSquare",0.568745533625285,1.9964439015532,1.98762301019,2.01710864991393,1.99565721284894,0.37420814479638,0.25961600620596,0.259745297045704,0.329476405946994
"1","RectifierWithDropout","100;50",0.5,0.5,15,-2,0.99,1e-04,1e-05,1,1e-06,FALSE,"raw","CrossEntropy",0.479971570769946,0.887117672862805,0.861525001149131,0.826675965607132,0.877955949509031,0.698125404007757,0.69875234339647,0.711940009050359,0.699418228829993
"1","RectifierWithDropout","1024;512;128",0,0.7,25,-2,0.95,0.001,0.01,10,1e-06,TRUE,"sqrt","MeanSquare",35.1733167628447,Inf,Inf,Inf,22.0188782789127,0.26360698125404,0.25961600620596,0.259745297045704,0.228312863606981
"1","MaxoutWithDropout","100;50",0.02,0.1,5,-2,0.98,0.001,0.001,100,1e-09,TRUE,"raw","CrossEntropy",1.68743137518565,0.909529873827185,0.933754496176752,0.884396734190194,0.869647263654044,0.684873949579832,0.687697976598358,0.68388389682591,0.684292178409825
"1","TanhWithDropout","36;36;36",0.1,0.2,15,-2,0.9999,0,1e-05,100,1e-07,TRUE,"sqrt","MeanSquare",1.19552452961604,1.96533356534289,2.01102351856245,2.0075824776797,2.05984732901607,0.26360698125404,0.25961600620596,0.140345206542116,0.228312863606981
"1","RectifierWithDropout","100;50",0.2,0.2,25,-2,0.999,0.01,1e-04,1,1e-09,TRUE,"log","Automatic",2.15817084213098,0.862953717281256,0.860726482226715,0.84533146970204,0.877563373635147,0.709437621202327,0.705992630422135,0.708255220117655,0.705235940530058
"1","RectifierWithDropout","500;500;250;100",0.2,0.2,10,-2,0.999,1e-05,0.01,100,1e-09,TRUE,"raw","MeanSquare",3.41648771663507,25.43411381324,31.823723573383,26.6101969794134,30.0110040271745,0.26360698125404,0.0786088305643545,0.229555885965479,0.13109243697479
"1","RectifierWithDropout","500;500;250;100",0.05,0.5,5,-2,0.98,1e-05,0.01,10,1e-08,TRUE,"log","Automatic",7.59169463713964,0.591973074714109,0.595136836081866,0.590880514918748,0.579206881094467,0.778926955397544,0.780464154114681,0.774193548387097,0.778862314156432
"1","TanhWithDropout","36;36",0.2,0.5,10,-2,0.999,0.01,0.001,10,1e-09,FALSE,"raw","MeanSquare",0.417855028311412,2.06453323747618,1.81932124029586,1.78052557665964,1.84525087922647,0.26360698125404,0.466869222315599,0.469519684530351,0.465223012281836
"1","RectifierWithDropout","500;500;250;100",0.02,0.2,5,-2,0.9999,0,0.001,1,1e-08,TRUE,"sqrt","CrossEntropy",3.80978700419267,0.786276595916822,0.747756324682292,0.91356026888856,0.784906742424946,0.722042663219134,0.733466933867735,0.705087594543927,0.713574660633484
"1","RectifierWithDropout","36;18",0.01,0.7,15,-2,0.99,0.01,0.001,100,1e-08,FALSE,"raw","MeanSquare",0.167361254493395,2.04857348737757,2.08831890770264,1.74519545474881,2.11254896474563,0.26360698125404,0.25961600620596,0.465511668498287,0.259211376858436
"1","RectifierWithDropout","500;250;50",0.2,0.5,25,-2,0.99,0.01,0.001,10,1e-07,TRUE,"raw","CrossEntropy",3.56001642942429,1.9584399708193,1.84132534432467,2.28122084094322,1.77310069479311,0.26360698125404,0.295817441334281,0.259745297045704,0.378215901745313
"1","RectifierWithDropout","500;250;50",0.5,0.7,15,-2,0.9999,1e-05,1e-04,10,1e-06,TRUE,"raw","CrossEntropy",1.59313893318176,1.38238930958747,1.42734456892672,1.49015891190866,1.3672481409726,0.50917905623788,0.495183916219536,0.468032839873295,0.510084033613445
"1","RectifierWithDropout","36;36;36",0,0.1,50,-2,0.999,0.01,1e-05,100,1e-08,TRUE,"raw","Automatic",1.74509540398916,0.763098064731775,0.802030148323443,0.746294692785012,0.805103488468614,0.728894634776988,0.723252957527959,0.729717499515159,0.71447963800905
"1","RectifierWithDropout","100;20",0.01,0.7,10,-2,0.999,1e-04,1e-05,100,1e-08,FALSE,"raw","Automatic",0.203179875016212,0.764783999621639,0.791396687181398,0.764333104291905,0.786366020263506,0.733613445378151,0.712457172409335,0.720343913633719,0.718810601163542
"1","RectifierWithDropout","500;250;50",0.02,0.5,5,-2,0.99,1e-05,1e-05,1,1e-09,FALSE,"sqrt","MeanSquare",1.6618545383215,0.642465099176264,0.65278019154723,0.648860214493928,0.667422659216648,0.765546218487395,0.760036201435128,0.755963539983192,0.753846153846154
"1","MaxoutWithDropout","36;36",0.2,0.2,10,-2,0.99,1e-05,0,100,1e-07,TRUE,"raw","Automatic",1.09338081181049,0.889245121712126,0.841006805519101,0.864857130411598,0.875751041499019,0.692695539754363,0.700950287672118,0.694033227745814,0.682740788623142
"1","TanhWithDropout","500;250;50",0,0,25,-2,0.98,0,0.01,1,1e-06,TRUE,"sqrt","Automatic",79.6588089505831,0.840535948932355,0.821332967163757,0.823589867317024,0.827565540578636,0.709566903684551,0.715301570883703,0.709160255995863,0.706334841628959
"1","RectifierWithDropout","36;36",0.02,0,10,-2,0.999,1e-05,1e-05,1,1e-06,FALSE,"raw","CrossEntropy",0.287334270278613,0.781169835266545,0.756005517858324,0.790166978946172,0.810244749768218,0.724240465416936,0.719891395694615,0.719632814015127,0.703102779573368
